campeão,taxa_banimento
Caitlyn,67.72
Yuumi,66.93
Aatrox,62.2
Sejuani,44.88
Graves,39.37
Sylas,38.58
Maokai,37.8
Azir,33.86
Kalista,33.86
Akali,26.77
Renekton,23.62
Lucian,22.83
LeBlanc,22.83
Fiora,22.83
Ornn,18.9
Renata Glasc,18.11
Viktor,15.75
Aphelios,15.75
Hecarim,14.96
Amumu,14.17
Poppy,14.17
Viego,14.17
Taliyah,12.6
Kai'Sa,11.81
Trundle,11.02
Camille,10.24
Lissandra,10.24
Gnar,10.24
Lee Sin,9.45
Vi,8.66
Miss Fortune,7.87
Alistar,7.09
Thresh,6.3
Varus,6.3
Leona,6.3
Jax,6.3
Tahm Kench,5.51
Tristana,5.51
Yone,5.51
Rell,4.72
Ahri,4.72
Gragas,2.36
Sivir,1.57
Nami,0.79
Lulu,0.79
